,Pathways,ListReactions,SetSize,P-value,P-valueadj,Reject
69,Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),5,17,0.01584411149298453,0.0748497680875476,False
23,Beta-alanine metabolism,5,11,0.002174971596893799,0.015171518085912696,True
61,Acylglycerides metabolism,4,20,0.08485980491448064,0.2004447116083422,False
64,Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal),4,38,0.20459085154321263,0.31493198495977676,False
81,Cholesterol metabolism,4,45,0.20087727244963985,0.31272939006364386,False
67,Beta oxidation of even-chain fatty acids (mitochondrial),4,59,0.14427620986102202,0.26841167367842944,False
102,Bile acid recycling,4,32,0.18454895034792435,0.3045391830606146,False
42,Fatty acid biosynthesis (odd-chain),4,29,0.16576790177440087,0.287470918266999,False
113,Riboflavin metabolism,4,5,0.00040279056721354717,0.003941593407732568,True
44,Fatty acid elongation (even-chain),4,20,0.08485980491448064,0.2004447116083422,False
117,Vitamin B6 metabolism,4,10,0.010183151350369641,0.05812882229169337,False
60,Carnitine shuttle (endoplasmic reticular),4,131,0.0018961916510218365,0.014432125343888422,True
0,Glycolysis / Gluconeogenesis,4,33,0.18953170213201087,0.3045391830606146,False
6,Propanoate metabolism,4,16,0.04792917032395063,0.14717744575026567,False
22,Glutathione metabolism,4,17,0.05660473398460332,0.1550969711178131,False
78,Cholesterol biosynthesis 1 (Bloch pathway),3,27,0.2317041002979857,0.33554852194660645,False
110,Ascorbate and aldarate metabolism,3,4,0.0033200307962343327,0.021659248527814454,True
54,Leukotriene metabolism,3,139,0.00026937825547582774,0.0030754017500157,True
112,Retinol metabolism,3,52,0.13279359323180903,0.2562355249684202,False
15,"Glycine, serine and threonine metabolism",3,37,0.22009392772644987,0.3242243881561681,False
104,Nicotinate and nicotinamide metabolism,3,24,0.21809503307210149,0.3242243881561681,False
46,Fatty acid desaturation (even-chain),3,12,0.08085750268867539,0.2004447116083422,False
48,Fatty acid biosynthesis,3,49,0.15107200764458986,0.27232717167511594,False
100,Isolated,2,13,0.2400274098596163,0.33554852194660645,False
3,Fructose and mannose metabolism,2,10,0.18819722265400132,0.3045391830606146,False
2,Galactose metabolism,2,17,0.2778457140049344,0.3731849295948629,False
134,Drug metabolism,2,168,3.3149587640375498e-06,5.04610389636827e-05,True
18,Tyrosine metabolism,2,18,0.2821208357132106,0.37524810187096946,False
33,Miscellaneous,2,27,0.25676521578621586,0.3553215612395108,False
111,Porphyrin metabolism,2,13,0.2400274098596163,0.33554852194660645,False
20,"Phenylalanine, tyrosine and tryptophan biosynthesis",1,61,0.012014062252717157,0.06096024180082409,False
17,Tryptophan metabolism,1,8,0.38052136067395376,0.48177134482360956,False
1,Starch and sucrose metabolism,1,33,0.1197471748825793,0.24125533763107887,False
121,Pool reactions,1,11,0.3847531528761403,0.48177134482360956,False
7,Butanoate metabolism,1,7,0.3688505897436407,0.47672198863093185,False
40,Fatty acid activation (endoplasmic reticular),1,55,0.020282118809901453,0.08420152354413633,False
5,Pyruvate metabolism,1,28,0.17034793222197184,0.2881193421532116,False
125,Heme synthesis;Porphyrin metabolism,1,1,0.09730848861283642,0.21854529409768178,False
62,Beta oxidation of even-chain fatty acids (peroxisomal),1,48,0.036722017484609584,0.1267202244359188,False
59,Carnitine shuttle (peroxisomal),1,8,0.38052136067395376,0.48177134482360956,False
31,Protein modification,1,1,0.09730848861283642,0.21854529409768178,False
37,Oxidative phosphorylation,1,10,0.38753202321325503,0.48177134482360956,False
129,Heme synthesis,1,1,0.09730848861283642,0.21854529409768178,False
53,Arachidonic acid metabolism,1,105,0.00019820178617643323,0.0024685131551064866,True
47,Fatty acid desaturation (odd-chain),1,2,0.1757221191808841,0.2935845161924527,False
79,Cholesterol biosynthesis 2,1,3,0.23798262278944082,0.33554852194660645,False
41,Fatty acid biosynthesis (even-chain),0,30,0.04552249001072734,0.1450367704992941,False
108,Biotin metabolism,0,14,0.23762525104389096,0.33554852194660645,False
14,Histidine metabolism,0,8,0.4403573326150374,0.5112623268496621,False
103,Blood group biosynthesis,0,36,0.024427637065111234,0.09561675079772111,False
16,Lysine metabolism,0,24,0.0847039987771284,0.2004447116083422,False
105,Pantothenate and CoA biosynthesis,0,18,0.15736847195304335,0.2764035981739351,False
120,Xenobiotics metabolism,0,69,0.0007743807885009368,0.006240598119095785,True
114,Serotonin and melatonin biosynthesis,0,7,0.4879702710818225,0.5479666158869646,False
126,Heme degradation,0,2,0.8148178584890197,0.858692666253813,False
133,CoA synthesis,0,1,0.9026915113871634,0.9026915113871634,False
132,Peptide metabolism,0,1,0.9026915113871634,0.9026915113871634,False
131,Vitamin B2 metabolism,0,1,0.9026915113871634,0.9026915113871634,False
130,Phosphatidylinositol phosphate metabolism,0,6,0.5407085636709378,0.5926165857833479,False
128,Phenylalanine metabolism,0,1,0.9026915113871634,0.9026915113871634,False
127,Vitamin A metabolism,0,5,0.5991214873911024,0.6462964076581184,False
123,Ubiquinone synthesis,0,9,0.3973734450004955,0.48177134482360956,False
115,Thiamine metabolism,0,5,0.5991214873911024,0.6462964076581184,False
122,Artificial reactions,0,6,0.5407085636709378,0.5926165857833479,False
98,Keratan sulfate biosynthesis,0,59,0.0022148201585274006,0.015171518085912696,True
119,Vitamin E metabolism,0,30,0.04552249001072734,0.1450367704992941,False
118,Vitamin D metabolism,0,20,0.12803245904288602,0.25057781269821977,False
4,Pentose and glucuronate interconversions,0,13,0.26338464420146657,0.35726431936238534,False
116,Vitamin B12 metabolism,0,3,0.7354675736205591,0.7810779657830744,False
99,Keratan sulfate degradation,0,76,0.0003701320814038591,0.0039006227040252845,True
89,Glycosphingolipid biosynthesis-lacto and neolacto series,0,32,0.03699860567472081,0.1267202244359188,False
97,Heparan sulfate degradation,0,29,0.050491532483667785,0.14717744575026567,False
30,Protein assembly,0,9,0.3973734450004955,0.48177134482360956,False
25,Amino sugar and nucleotide sugar metabolism,0,22,0.10414749934859731,0.22647948271044177,False
26,Aminoacyl-tRNA biosynthesis,0,20,0.12803245904288602,0.25057781269821977,False
66,Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal),0,19,0.14194761545984175,0.26841167367842944,False
65,Beta oxidation of phytanic acid (peroxisomal),0,21,0.1154765160150501,0.23877808673367798,False
27,O-glycan metabolism,0,12,0.2919241309967115,0.38089148520523314,False
63,Beta oxidation of odd-chain fatty acids (peroxisomal),0,1,0.9026915113871634,0.9026915113871634,False
28,N-glycan metabolism,0,70,0.0006969665636319384,0.005967776201098472,True
32,Protein degradation,0,7,0.4879702710818225,0.5479666158869646,False
96,Chondroitin sulfate degradation,0,38,0.019843488377719543,0.08420152354413633,False
55,Eicosanoid metabolism,0,15,0.21437611529049266,0.32274206367909336,False
34,Sulfur metabolism,0,6,0.5407085636709378,0.5926165857833479,False
35,C5-branched dibasic acid metabolism,0,4,0.6638169218652645,0.710491549183916,False
50,Lipoic acid metabolism,0,1,0.9026915113871634,0.9026915113871634,False
49,Linoleate metabolism,0,16,0.19339349581221513,0.3045391830606146,False
45,Fatty acid elongation (odd-chain),0,12,0.2919241309967115,0.38089148520523314,False
38,ROS detoxification,0,7,0.4879702710818225,0.5479666158869646,False
70,Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal),0,8,0.4403573326150374,0.5112623268496621,False
71,Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),0,21,0.1154765160150501,0.23877808673367798,False
24,Metabolism of other amino acids,0,8,0.4403573326150374,0.5112623268496621,False
73,Beta oxidation of poly-unsaturated fatty acids (mitochondrial),0,22,0.10414749934859731,0.22647948271044177,False
95,Chondroitin / heparan sulfate biosynthesis,0,42,0.013087831395535501,0.06403688932815585,False
94,Ether lipid metabolism,0,8,0.4403573326150374,0.5112623268496621,False
93,Prostaglandin biosynthesis,0,28,0.05600058828079831,0.1550969711178131,False
92,Glucocorticoid biosynthesis,0,8,0.4403573326150374,0.5112623268496621,False
91,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0,29,0.050491532483667785,0.14717744575026567,False
90,Glycosphingolipid metabolism,0,16,0.19339349581221513,0.3045391830606146,False
88,Glycosphingolipid biosynthesis-globo series,0,7,0.4879702710818225,0.5479666158869646,False
85,Glycerolipid metabolism,0,72,0.0005645074463862302,0.005155834676994236,True
83,Formation and hydrolysis of cholesterol esters,0,132,9.323190815776878e-07,1.8246816310877605e-05,True
82,Estrogen metabolism,0,51,0.005117838801611856,0.03187017799185565,True
80,Cholesterol biosynthesis 3 (Kandustch-Russell pathway),0,15,0.21437611529049266,0.32274206367909336,False
77,Androgen metabolism,0,18,0.15736847195304335,0.2764035981739351,False
76,Steroid metabolism,0,39,0.017883741694540184,0.08166908707173351,False
75,Terpenoid backbone biosynthesis,0,9,0.3973734450004955,0.48177134482360956,False
74,Beta oxidation of branched-chain fatty acids (mitochondrial),0,13,0.26338464420146657,0.35726431936238534,False
136,Urea cycle,0,1,0.9026915113871634,0.9026915113871634,False
