Gene_Symbol,Gene_Length
KIAA0247,103551
HIST1H4L,363
PEX5,29410
GTPBP5,19729
CALU,34131
SYCE2,20192
RP2,45444
NFKB1,115973
PAK1IP1,14782
GIMAP1,7723
GPATCH3,9983
NCR3LG1,25559
GCSAM,12464
DOK4,14515
AGPAT4-IT1,1850
GPR27,1127
HM13-AS1,5556
SERHL2,20463
FAM188A,82344
DNAJA4,18051
WDR76,41505
DYDC2,23328
HIST1H1D,776
BPGM,33036
C10orf118,52390
TMEM185B,5937
SRSF2,3296
LINC00847,4769
CTDSP2,27037
AHR,47499
EMCN,122752
HSD17B6,24466
RFESD,10368
B3GALNT2,57248
FLJ42393,2265
IMPACT,26885
GNPNAT1,16475
PTPN7,14575
PELP1,32953
MFGE8,14749
SNAPC4,22860
TOPBP1,61288
TTC21A,31242
SNX30,124133
DDR1,16072
LOC100190986,2431
LSM7,7094
C6orf164,2617
TSPAN2,41488
SENP2,44854
TSHZ1,79195
TNNT3,19137
MAPK14,83559
DDB1,33765
TMIGD2,10203
CNOT2,111999
MCMBP,44224
ADAM9,108274
HNRNPU-AS1,6303
VWA8,394260
DDX6,43499
CYBASC3,13535
UQCR11,8329
MED4,19413
SUCNR1,8445
RAB18,38063
PPWD1,24313
TMEM86A,5981
STUB1,2653
LOC100499484,58888
TOE1,4308
CBR1,3177
SUSD2,7630
NDUFV1,5689
KIF20B,73333
KCNK17,15460
PBDC1,5262
ZSWIM8,16174
CDK7,42635
RAPGEF4,317095
ACY3,8104
FBXL4,74248
PIGA,16103
TMED2,13612
CHD7,189262
PET100,1839
LRRC37A3,64415
ATF1,57154
SNAI3-AS1,23813
ATAD1,65042
VASH1,21128
CCRN4L,30152
ADAM19,98471
TRMT112,868
RAB11FIP4,146590
Sep-11,88873
DNAL4,15648
AMFR,64086
GIPC1,18390
LEAP2,1224
AANAT,16766
GLIS2,7373
TRIAP1,2451
HHEX,5727
PALM2-AKAP2,392214
GFM1,48043
PCDHA2,217485
EIF4EBP2,24513
FAM71F2,11033
MAP1LC3B,12579
PARD6G,90280
HAL,23703
ATG16L2,15229
LOC642361,1700
TMEM179B,2998
GPR18,3715
POLDIP2,10944
C16orf55,12714
PLA2G4A,160081
SIRT7,6243
ZMYM2,133158
TCF4,413626
SNORD97,141
MANF,4136
LIN52,115461
DNAJC19,6064
LOC440600,52794
PTPRE,178839
LOC728558,337029
TBC1D9B,45785
ITPKC,23757
ZNF444,19727
PPTC7,48827
SMARCA1,76982
ZNF793,36398
SLMO1,24341
LSM2,9592
RIF1,67463
PHF5A,8987
ELOVL1,4677
TUBGCP4,34927
HJURP,17726
MBOAT2,147175
LOC284757,183766
CCDC71L,4423
ABHD1,7023
DSN1,22036
PRADC1,5222
RIPK1,38363
NEIL1,8261
RAB21,32492
ANP32A-IT1,3280
MIR18A,70
SMIM10,1535
NDUFA1,4895
RBM43,13661
ITFG2,12450
MAGIX,4655
CDK2AP1,11346
RUNX1-IT1,1490
SELENBP1,8432
IGF2R,137452
CD200R1,52405
SLC26A1,14361
PSMA7,6731
PPP6C,43366
FAM3C,47517
STRN3,132602
IDH3G,8757
ST3GAL6,63609
ACSBG1,63862
PAAF1,51037
SF3A1,24936
E2F6,21796
MON1B,8707
RXFP4,1145
MSRB2,26515
ASL,17553
ATPAF2,21146
TSC22D2,50827
STAM2,59191
UGP2,50598
MT2A,931
POLE4,11084
MSRB3,188264
NDUFAF6,33730
SAMHD1,60019
DHRS7,20711
UQCRFS1,5969
C16orf87,29115
NUDT4,25323
RPL41,1242
NFE2L2,34828
CPT1A,87311
LGALS12,10722
NBR1,41209
SLC40A1,20221
LIN7A,140523
NFE2,8930
LACE1,228153
ABCA11P,48774
LDLRAD4,434024
ZNF827,177719
TMEM110,60825
CDA,29956
ZNF223,15978
PRRT2,3793
FCN2,6708
SLFN12,21462
NEK7,165440
GDF11,9601
NRXN3,1697917
NPHS1,26621
GBP2,18489
KIAA1009,103375
CFP,6092
MIR155HG,13023
GABBR1,30957
RHEBL1,5307
PUSL1,3063
C17orf59,1913
SLC4A3,14410
CLEC11A,2376
LOC100131434,12180
ALG13,79529
RNF216P1,24184
GPR35,25851
MGC21881,2677
CDK11A,21621
BRPF1,16265
DENND3,67180
GPX3,8555
PPP4R2,68892
ZBTB9,2964
APOA1BP,2533
MRPL45,26112
INTS5,6454
TPRN,9094
SELO,16637
CUL2,82091
YIPF5,12555
METTL17,7229
LRRC8A,35926
MED12,23898
CLCF1,10009
NOL12,7141
VGLL3,53134
KIAA1024,39784
KCTD10,28695
CDC23,25695
CYP2B6,27097
TRIP11,72160
RNF5P1,2335
B3GALT6,2791
TTC18,105101
GSG2,2795
SLC22A9,40451
MAP3K11,16494
PLXNC1,158952
THUMPD1,8210
METTL25,120740
GAS7,287942
FRK,119228
LINC00324,3413
TRIM44,146577
GCA,18565
TMEM30A,31994
PDCL,10559
LOC100131289,1443
VPS28,4927
TUBG1,5898
AGAP5,23521
NEK2,17373
FANCC,218655
GATSL3,4509
FAM134B,144020
ADRBK1,20124
UBAP2L,50674
MACROD1,167555
FAT1,136050
XXYLT1,202882
MYH7B,46536
SMAGP,25069
BCAP29,43340
CPB2-AS1,48499
FUT1,7379
HDAC8,243587
THTPA,47821
EVC,103107
ATP5D,3075
PHF23,4478
SMG1P1,55212
BMPR2,191424
SNORD16,99
SNORD116-20,93
ETFA,95181
CISD1,20157
FAM117A,53831
ENTPD1,165487
HN1L,23795
P4HB,17510
ASRGL1,56113
TRAM1,35241
GPR132,16017
GSDMB,14055
RPS6KA1,45271
SCO2,2871
C11orf71,9102
RPH3AL,140453
CTPS2,124937
RALGPS1,308392
CHCHD1,1598
C9orf152,8567
PSMC3IP,5521
C1orf63,5245
CYSLTR2,2547
HUWE1,154640
CCDC163P,6153
C1orf106,24237
SPATA5,396379
LOC643406,5938
FAM111A,12193
FAM120A,114224
TMEM217,45977
ADSS,43642
C5AR1,12223
APC2,23095
ERCC2,19196
GTF2F1,13711
AGBL3,149271
ALG9,89386
HTATSF1P2,4615
RILP,3947
CEBPZ,29965
SCARF1,11889
AP2A2,86436
EXTL2,22807
ZFAT-AS1,2618
TFAP2E,21956
LPAR2,4573
DRAP1,2320
LOC202181,53777
PRDM10,103129
GJA1,14128
ZRANB2-AS1,20676
BCDIN3D,7086
TDG,23063
TPTE2P5,124765
GPN2,10996
RAF1,80600
MYO18A,106879
WWP2,179457
SH3D21,14954
CDC25B,10360
ANKRD18A,48999
CUL4A,56306
SYNJ2BP-COX16,92009
SPATA13,146351
C1orf213,2866
AGO1,41089
HNRNPL,15951
C8orf76,21442
KIAA1524,39773
ST14,50575
PPFIBP2,140000
PSMG3,2698
SDHAP2,30825
RRP1,14565
PFN1,3436
SDF4,15159
C10orf111,1934
KIAA0232,101440
SERF1B,17856
SLC9A7,159921
SLC8A3,144853
LOC100506124,14465
CBFA2T3,102241
ZNF300,10591
VARS2,12253
MCM7,9023
FAM133DP,29328
SEH1L,39553
CDK5R1,4166
SEC23IP,52085
LOC284023,2625
ATAT1,19985
ARFGAP2,12827
POLD1,33695
SPSB2,2421
ARHGAP32,227138
TRIM11,13140
USP39,46442
IFI27L1,21421
FANCG,6178
MYCBP,10888
FAM212B,33733
PIEZO1,69626
GCHFR,3626
PRPF31,16360
ADIPOR2,97598
ABO,20067
LTBR,16203
LOC90784,3652
SLC25A5,2996
HMG20B,6138
MED30,19536
ECE1,128294
KLF13,51019
SETD1B,27924
UBQLN1,48290
XPO7,86916
ELL,79464
RNF138P1,5700
ACOT13,38032
EPB49,28955
ADD2,106159
MTRNR2L1,1554
ARFGEF2,114955
BARD1,81153
NEB,249148
MZF1,11658
ATG4D,9447
CRY1,102492
ARGLU1,24852
KCTD21,17366
CLYBL,290469
KLHL7,69685
LOC729732,128532
BIRC3,21954
IDH3B,5824
BTBD9,471697
NFE2L3,34909
SCNN1D,11593
TMEM17,6248
AZIN1,37861
ABHD2,114210
NT5M,44297
RGP1,3987
PSMB8,4218
GALNT7,155214
CKAP5,102775
C1orf159,34538
ANKHD1-EIF4EBP3,147764
ZNF671,7876
TRAF6,26546
MICALL2,25114
GDI1,6555
PPP1CA,3724
C5orf24,14055
OGG1,16725
SPIN3,19185
KIF7,27481
CBX4,6258
RSG1,5477
AKR1B1,16781
PRCD,17790
MIRLET7BHG,27931
HERC4,153447
HTR2B,16874
GAN,65232
IPP,56487
CCP110,29549
ZNF846,11259
TTI2,14676
NUP98,122782
HSP90AB1,7722
CHP1,50646
PPP2R2C,243022
DHX34,33423
LRIF1,16754
TCEANC,10940
C9orf3,360549
BTBD1,50925
RPL36AL,1942
LMNA,57511
AGO3,125380
LOC90246,2751
CYB561,14057
SLC35E4,12069
PRPF40B,21255
RPS24,23053
FBXL14,28172
SLFNL1-AS1,29300
PLD2,16331
LOC728613,36448
C22orf23,10619
EIF2S1,26199
KDM3A,51568
TPM1,29275
PRR19,8689
MFHAS1,109132
ARIH2OS,1597
DPYSL4,18866
ANKS1B,1249863
LRRC20,83653
ZNF287,18889
FRMD4A,687160
LOC729013,21059
ALX3,10325
TAB1,37373
ZNF529,61661
SECTM1,13021
LEPROT,15559
ARL4C,4007
LOC100506451,4787
C9orf96,27936
SH3D19,107749
ARL6IP4,2580
KAT8,13729
MRPL43,9693
CPEB4,71982
NUDT16,7159
GFPT1,67485
ARF1,16552
SLA,66337
CDKN2B,6410
TK1,13125
CDC42BPB,125026
FAR2,186613
GPATCH4,7179
FAM57A,10228
CLEC5A,19626
AUP1,3199
RCC1,33253
ARMCX1,4161
B3GNT4,3856
SERF2,18993
RHBDF1,14571
KCNAB2,108895
NCOR1,185466
LANCL3,105928
GTSF1,17650
CCT6P3,36359
EIF3K,17873
PYCARD,1290
SPG20OS,23304
C16orf80,15799
TOPORS,12084
HLA-J,3985
EIF3F,8852
GNLY,4461
SNORA60,135
KIAA0513,66418
CABP7,11476
PCYT1A,49331
CCZ1,27262
PRPF40A,65868
BRAF,190751
TMEM19,17961
ABLIM1,253545
PAQR7,9769
CLEC4G,3214
IDE,122411
PANK3,23986
TAF3,196549
CDR2L,18165
IFIT2,7327
FAM131A,10346
PTCHD3P1,12798
CKLF-CMTM1,26572
NUDCD1,93202
NUP85,30257
FAS-AS1,1551
KIAA0100,30719
LPAR6,33658
UBR3,256621
LCP1,56401
TBC1D17,11325
GUSBP2,85067
PTGFR,49658
SSH3,9159
CXorf40A,9567
RBPJ,115420
AKT2,55078
BTBD18,8267
ATXN3,48069
IER3,1351
CORO2B,148836
HOOK1,61517
CARHSP1,16061
TSNAX-DISC1,512620
AVEN,172875
MAGT1,69203
RAB3GAP1,118444
MOV10,26320
PARN,194571
ZNF285,15969
CFD,3945
TMEM185A,35271
CECR1,30587
TBL1X,256445
RABGAP1,163859
AASS,70746
PDGFD,257113
WHAMMP1,13893
ZFP3,17915
MINOS1,32844
IFT57,61758
DNAJC1,247173
DNAJC14,8676
ASPN,26355
ADAMTSL3,385755
FAM83E,12837
HSP90B2P,2751
ZBTB49,31589
ARID3B,56924
SSBP4,15226
ZNF772,7984
ZNF843,7463
MPHOSPH9,65495
SSRP1,9892
TRIP12,154725
TUBB,5038
VNN3,11978
ZFP112,30150
TRIM56,5103
LMO4,20456
UBXN4,43444
IPW,5931
EIF3M,18724
AVL9,88603
DEDD,11709
PAPSS1,106597
APIP,34096
EEPD1,148316
IPO13,21216
C7orf73,13939
BCAS2,14084
FGL2,6462
BCL6,24348
TRMT10C,4610
LOC100271722,4961
EXD2,52543
LIMA1,107790
LMAN2L,34146
WBP11,16989
ARMC1,31761
MRPL51,1155
ZNF32,5019
RPS6KA3,116721
ZNRF2P1,2033
C6orf106,109559
DHX9,48678
TMC8,12190
CLPB,142254
MAN2B2,47286
FUT8,333529
SNORA21,132
TM9SF4,57752
SAFB2,35928
XRN1,141404
CDC42EP3,30653
ATPAF1,33388
LOC653160,3007
KCNJ12,43480
VRK2,113278
PPFIA4,27553
PXDC1,29410
LOC100506195,25831
XAF1,19808
CREB3,4688
ING3,24894
MBLAC2,16565
SLMAP,171720
RRAGD,47660
KCTD17,11651
ZNF280C,66249
CD180,14513
MAN1C1,167299
INCENP,29190
AMPD3,57258
SMC6,90017
SH3BP4,103730
LOC339505,68993
S100A4,2187
SP3,59243
DOM3Z,2444
ACTG1,2895
CCDC90A,28011
OBSCN,170744
WDR44,103887
MDM1,37815
TIMM10B,3234
STARD10,38976
RAD51,37029
UBE3D,173359
SPTAN1,81107
ULK3,7093
GTPBP8,10421
RBM22,10317
ZNF485,11497
PPM1G,28484
LOC400685,16715
SLC26A6,9770
SYNE1,515715
CYP7B1,202819
HIST1H4F,367
ANGPTL7,6640
KCNC4,23338
C19orf66,7122
TRIM65,8043
INO80B,2937
JOSD1,14911
ANXA4,84469
DTWD2,151671
AHNAK,113318
RAD51B,776242
TMEM48,73091
ASAH2B,14881
ZNF600,21286
CCNT2,40523
OPA3,57097
MYO7A,86976
SMOX,38968
BTG1,5619
EXOG,30033
GPR160,47448
MRPL30,18478
LOC100128252,17562
C2CD4D,2694
FAM212A,1776
NDUFB10,2459
MND1,70446
CENPL,25089
IL12A,7183
SLC7A5P1,614
TCN1,13760
SMTN,23328
APBB3,6336
INPP5K,22311
ZC2HC1C,8500
FAM216A,21960
PPP3CB,59219
MLLT1,69567
HSPE1-MOB4,53702
POLR2K,3391
MAD1L1,417155
LIMD2,4270
TSN,12307
AAR2,20524
LRRK1,150857
MEST,20122
G3BP2,30714
OR52I2,1114
PKP2,106100
CARNS1,9929
FAM58A,11249
OARD1,5657
RPL36,1406
WDR26,49156
FBXL16,13325
EPB41L2,223974
BZRAP1-AS1,28277
DHRS11,9007
SNN,10726
TTC26,56060
ZNF585B,28970
ZSWIM6,213899
ZEB2-AS1,1284
LOC728407,117408
PPP2R1A,36623
TBCEL,65551
DENND4A,131674
KLHDC8B,4901
LRRC56,17394
RYBP,72030
PODXL,56355
BICC1,315941
ZNF75D,10242
ZNF286A,21209
MEF2A,150496
PABPC1,19171
PLA2G4C,63009
ZDHHC14,292420
CEP41,47439
DIRC3,472570
IGFN1,38127
COX7B,5920
TTN,281433
CDKN2A,26739
LSM6,14378
SPG20,68542
PELI2,182938
LRRC28,134846
GINS1,40868
KCNK10,146804
TIMMDC1,25757
NAPEPLD,49546
SRPR,6063
TRH,3665
BBIP1,20636
SNORA25,131
BRCA2,84192
TMEM79,9530
PPIL3,18170
TCEB2,5882
CWC22,62176
SDHB,35440
YPEL3,3902
SLC30A1,3718
AEN,10985
DEGS2,13259
UGDH-AS1,66868
EXOSC2,11294
CRAMP1L,63268
PRKG1,1307199
NT5C2,105289
DNAJC27-AS1,67582
UBE2V2,53459
CIAPIN1,19282
ICAM3,5893
C11orf21,5636
UBA3,25643
STX5,25231
TAS2R60,956
TERT,41875
ZNF517,10268
LOC100216545,3599
TFE3,14748
COX10,139277
SFT2D1,22474
SNORA7B,138
TXNDC5,29564
USMG5,7461
SFXN3,10002
FERMT3,17211
MEN1,7780
TMEM138,7502
C12orf75,40882
MEI1,99941
C17orf72,5933
TNKS1BP1,25310
ARHGEF9,150578
CLDN15,6728
EIF3G,4909
LPCAT3,40495
LOC642852,9302
GNS,46004
RFX2,117489
CENPA,8573
GLT25D1,27454
CPM,112064
KCNH3,19137
SNRPE,9540
STYX,44822
CUEDC2,9421
LDHA,13829
THAP3,10721
FASTKD2,30799
UBR1,163188
IQSEC3,111576
LINC00638,2517
CCDC171,418800
CCDC138,89628
C4orf29,65994
TMC5,88377
FOSB,7184
SSSCA1,1296
PNPO,7785
JUP,32105
HIVEP3,529560
ITGA5,24005
RNF31,13211
C19orf12,16903
MICAL1,11924
TRIM23,34680
XYLT1,368557
UBR4,135746
NF2,95044
ITGB1BP1,17828
METTL23,7050
ENO2,9245
HOTAIRM1,4164
CD3EAP,4557
TSPAN5,188294
NAPG,26893
