"","Gene_Symbol","Gene_Length"
"71","ENSG00000127220",11342
"72","ENSG00000136754",114491
"73","ENSG00000138443",103889
"74","ENSG00000108798",12998
"75","ENSG00000097007",173794
"76","ENSG00000143322",130357
"77","ENSG00000099204",253545
"78","ENSG00000175164",20067
"79","ENSG00000159842",183858
"80","ENSG00000174429",10761
"81","ENSG00000146386",14620
"82","ENSG00000146109",3106
"83","ENSG00000114626",7988
"84","ENSG00000166016",207021
"85","ENSG00000060971",14532
"86","ENSG00000167315",30377
"87","ENSG00000278540",324975
"88","ENSG00000076555",128828
"89","ENSG00000111271",71054
"90","ENSG00000240303",101993
"91","ENSG00000151498",12312
"92","ENSG00000177646",33624
"93","ENSG00000117054",39312
"94","ENSG00000122971",14240
"95","ENSG00000196177",49377
"96","ENSG00000072778",8142
"97","ENSG00000157766",71911
"98","ENSG00000072818",14945
"99","ENSG00000114331",168352
"100","ENSG00000131584",15505
"101","ENSG00000075239",26633
"102","ENSG00000120437",17098
"103","ENSG00000182827",42043
"104","ENSG00000181513",11576
"105","ENSG00000107897",46925
"106","ENSG00000230124",214670
"107","ENSG00000176244",13301
"108","ENSG00000110455",17840
"109","ENSG00000102977",3303
"110","ENSG00000177076",43575
"111","ENSG00000078124",162933
"112","ENSG00000087085",5926
"113","ENSG00000100813",37049
"114","ENSG00000131473",52093
"116","ENSG00000122729",66231
"117","ENSG00000100412",59864
"118","ENSG00000162390",86610
"119","ENSG00000112304",38032
"120","ENSG00000119673",8038
"121","ENSG00000177465",4060
"122","ENSG00000097021",129494
"123","ENSG00000101473",15688
"124","ENSG00000123130",39630
"125","ENSG00000161533",37926
"126","ENSG00000087008",74443
"127","ENSG00000143727",13413
"128","ENSG00000134575",9604
"129","ENSG00000102575",4326
"130","ENSG00000162836",23466
"132","ENSG00000111644",9338
"133","ENSG00000103740",63862
"134","ENSG00000167107",48681
"135","ENSG00000176715",61954
"136","ENSG00000151726",70466
"137","ENSG00000123983",82387
"138","ENSG00000068366",92057
"139","ENSG00000197142",54222
"140","ENSG00000166743",68019
"141","ENSG00000005187",33167
"142","ENSG00000154930",51952
"143","ENSG00000131069",53003
"144","ENSG00000111058",177773
"145","ENSG00000107796",56316
"146","ENSG00000075624",3453
"147","ENSG00000184009",2895
"148","ENSG00000288649",2027
"149","ENSG00000136518",25485
"150","ENSG00000072110",105243
"151","ENSG00000130402",82904
"152","ENSG00000131966",35520
"153","ENSG00000138107",23526
"154","ENSG00000115073",8159
"155","ENSG00000138071",43561
"156","ENSG00000115091",68630
"157","ENSG00000133627",95630
"158","ENSG00000101442",23992
"159","ENSG00000075089",24337
"160","ENSG00000113812",15135
"161","ENSG00000184378",2972
"162","ENSG00000115170",139416
"163","ENSG00000135503",45412
"164","ENSG00000121989",85823
"165","ENSG00000114739",38843
"166","ENSG00000229589",3793
"167","ENSG00000139567",15943
"168","ENSG00000243989",5918
"169","ENSG00000132744",8104
"170","ENSG00000119640",10808
"171","ENSG00000170634",190025
"172","ENSG00000196839",32213
"173","ENSG00000168803",23224
"174","ENSG00000137845",153667
"175","ENSG00000073670",22646
"176","ENSG00000148848",374225
"177","ENSG00000143537",11504
"178","ENSG00000151694",66506
"179","ENSG00000135074",98471
"181","ENSG00000008277",268638
"182","ENSG00000042980",61146
"183","ENSG00000197140",177386
"184","ENSG00000151651",14487
"185","ENSG00000168615",108274
"186","ENSG00000154734",9122
"187","ENSG00000142303",30462
"188","ENSG00000138316",89636
"189","ENSG00000173157",197712
"190","ENSG00000156140",287830
"191","ENSG00000136378",52228
"192","ENSG00000156218",385755
"193","ENSG00000143382",11514
"194","ENSG00000105963",56752
"195","ENSG00000160710",45922
"196","ENSG00000197381",151985
"197","ENSG00000185736",556417
"198","ENSG00000065457",24974
"199","ENSG00000189007",27872
"200","ENSG00000213638",8075
"202","ENSG00000063761",133871
"203","ENSG00000133597",21955
"206","ENSG00000173137",20722
"207","ENSG00000164742",148589
"208","ENSG00000290554",39800
"209","ENSG00000138031",100016
"210","ENSG00000174233",22845
"211","ENSG00000121281",30220
"212","ENSG00000162104",153536
"213","ENSG00000141433",7229
"214","ENSG00000087274",86218
"215","ENSG00000075340",106159
"216","ENSG00000148700",129597
"217","ENSG00000196616",15045
"218","ENSG00000197894",17801
"219","ENSG00000182551",21660
"220","ENSG00000159346",17740
"221","ENSG00000006831",97598
"222","ENSG00000148671",2478
"223","ENSG00000156110",558118
"224","ENSG00000224420",2305
"225","ENSG00000101126",40644
"226","ENSG00000101544",31313
"227","ENSG00000181915",3723
"228","ENSG00000128271",14795
"229","ENSG00000178803",65605
"230","ENSG00000170425",30979
"231","ENSG00000282608",80627
"232","ENSG00000159322",32418
"233","ENSG00000260898",15364
"234","ENSG00000144843",10269
"235","ENSG00000153531",31579
"237","ENSG00000170222",13948
"238","ENSG00000150594",3872
"239","ENSG00000169252",2041
"242","ENSG00000130706",5891
"243","ENSG00000239900",20071
"246","ENSG00000106624",10199
"247","ENSG00000139154",82565
"248","ENSG00000181026",10985
"250","ENSG00000157510",69966
"251","ENSG00000169129",109932
"252","ENSG00000172493",206052
"253","ENSG00000155966",500054
"254","ENSG00000144218",595321
"255","ENSG00000072364",88283
"256","ENSG00000223959",28207
"257","ENSG00000141385",48332
"258","ENSG00000183077",20384
"259","ENSG00000119844",68699
"260","ENSG00000038002",11728
"261","ENSG00000157985",637711
"262","ENSG00000135439",17868
"263","ENSG00000133612",57697
"264","ENSG00000172650",23521
"265","ENSG00000204149",22181
"266","ENSG00000165923",55785
"267","ENSG00000146856",149271
"268","ENSG00000084693",18999
"269","ENSG00000204305",3354
"270","ENSG00000173744",89050
"271","ENSG00000106351",29009
"272","ENSG00000164252",34848
"273","ENSG00000006530",103131
"274","ENSG00000162688",73939
"275","ENSG00000116771",13411
"276","ENSG00000092847",41089
"277","ENSG00000123908",104382
"278","ENSG00000126070",125380
"279","ENSG00000134698",49662
"280","ENSG00000204310",9905
"281","ENSG00000169692",14316
"282","ENSG00000160216",122359
"283","ENSG00000026652",144050
"285","ENSG00000155189",53143
"289","ENSG00000018510",151093
"290","ENSG00000188157",35996
"291","ENSG00000135049",195490
"292","ENSG00000177674",14686
"294","ENSG00000153207",92324
"295","ENSG00000101444",31537
"296","ENSG00000168710",38977
"297","ENSG00000158467",205197
"298","ENSG00000126705",69387
"299","ENSG00000135541",213793
"300","ENSG00000124942",113318
"301","ENSG00000185567",41103
"302","ENSG00000106546",47499
"303","ENSG00000100591",11442
"305","ENSG00000169877",921
"306","ENSG00000186063",44509
"307","ENSG00000204472",1804
"308","ENSG00000126878",26676
"309","ENSG00000156709",36523
"310","ENSG00000042286",20667
"311","ENSG00000183773",16231
"312","ENSG00000146416",279418
"314","ENSG00000164022",33614
"315","ENSG00000106305",14583
"316","ENSG00000110711",8074
"317","ENSG00000160224",12381
"318","ENSG00000196581",128746
"319","ENSG00000129474",11438
"320","ENSG00000106992",11263
"321","ENSG00000004455",28971
"322","ENSG00000147853",32486
"323","ENSG00000162433",84596
"324","ENSG00000140057",97316
"325","ENSG00000165695",153233
"326","ENSG00000121057",36157
"327","ENSG00000108599",73404
"328","ENSG00000023516",51114
"329","ENSG00000131016",118560
"330","ENSG00000170776",368742
"332","ENSG00000111254",29667
"333","ENSG00000179841",9004
"334","ENSG00000151320",503789
"335","ENSG00000118507",147849
"336","ENSG00000105127",26280
"337","ENSG00000011243",38974
"338","ENSG00000127914",169798
"340","ENSG00000166452",8925
"341","ENSG00000174574",14821
"342","ENSG00000135334",27407
"343","ENSG00000106948",60252
"344","ENSG00000162641",42344
"345","ENSG00000117448",19268
"346","ENSG00000085662",16781
"347","ENSG00000187134",14704
"348","ENSG00000151632",30257
"349","ENSG00000196139",58920
"351","ENSG00000165568",21882
"352","ENSG00000053371",9438
"353","ENSG00000142208",26393
"354","ENSG00000204673",8347
"355","ENSG00000105221",55078
"356","ENSG00000117020",355351
"357","ENSG00000166971",11978
"358","ENSG00000148218",15026
"359","ENSG00000023330",16244
"360","ENSG00000170017",210200
"361","ENSG00000161618",17832
"362","ENSG00000059573",50881
"363","ENSG00000165092",52655
"364","ENSG00000184254",36821
"365","ENSG00000137124",6001
"366","ENSG00000136010",64779
"367","ENSG00000111275",43098
"368","ENSG00000072210",28844
"369","ENSG00000006534",20695
"370","ENSG00000159423",31369
"371","ENSG00000112294",42238
"372","ENSG00000119711",24324
"373","ENSG00000164904",53549
"374","ENSG00000118514",32732
"375","ENSG00000143149",36451
"376","ENSG00000149925",17330
"377","ENSG00000109107",3818
"378","ENSG00000033011",15570
"379","ENSG00000139133",6020
"380","ENSG00000175548",12971
"381","ENSG00000253710",17257
"382","ENSG00000182858",15252
"383","ENSG00000101901",79529
"384","ENSG00000172339",90228
"386","ENSG00000248671",19496
"387","ENSG00000119523",5539
"388","ENSG00000214160",7196
"389","ENSG00000120697",49596
"390","ENSG00000088035",70972
"391","ENSG00000159063",38711
"392","ENSG00000086848",89386
"393","ENSG00000100601",35607
"394","ENSG00000189046",5300
"395","ENSG00000166199",39468
"396","ENSG00000160993",8654
"397","ENSG00000091542",26400
"398","ENSG00000239382",5119
"399","ENSG00000125652",2817
"400","ENSG00000137760",63008
"401","ENSG00000116127",224160
"402","ENSG00000108839",14671
"403","ENSG00000179477",15067
"404","ENSG00000291084",46773
"405","ENSG00000161905",10746
"406","ENSG00000179593",10093
"407","ENSG00000012779",71943
"408","ENSG00000132965",50950
"409","ENSG00000179148",23016
"410","ENSG00000073331",145265
"411","ENSG00000163283",4251
"412","ENSG00000003393",80909
"413","ENSG00000178038",24709
"416","ENSG00000156150",10325
"417","ENSG00000052850",49438
"418","ENSG00000183684",3751
"419","ENSG00000242110",21129
"420","ENSG00000110497",197657
"421","ENSG00000123505",20926
"422","ENSG00000162066",10592
"423","ENSG00000184675",20627
"424","ENSG00000159461",64086
"425","ENSG00000104899",2959
"427","ENSG00000181754",2890
"428","ENSG00000139211",4244
"429","ENSG00000176020",2971
"430","ENSG00000101935",246047
"431","ENSG00000144233",24307
"432","ENSG00000166126",8186
"433","ENSG00000151743",58037
"434","ENSG00000126016",65938
"435","ENSG00000166025",108410
"436","ENSG00000116337",12242
"437","ENSG00000133805",57258
"438","ENSG00000078053",247870
"439","ENSG00000145020",5900
"440","ENSG00000240038",24827
"441","ENSG00000174945",35906
"442","ENSG00000196704",9160
"443","ENSG00000291140",9035
"444","ENSG00000153107",116527
"445","ENSG00000164162",103966
"446","ENSG00000141552",8764
"447","ENSG00000129055",8319
"448","ENSG00000110200",3189
"449","ENSG00000166295",19860
"450","ENSG00000176248",13821
"451","ENSG00000053900",41272
"452","ENSG00000089053",45964
"453","ENSG00000196510",30830
"454","ENSG00000214274",10009
"455","ENSG00000013523",25697
"456","ENSG00000174606",23644
"457","ENSG00000154188",248544
"458","ENSG00000116194",21545
"459","ENSG00000167772",10246
"460","ENSG00000130812",10412
"461","ENSG00000171819",6640
"462","ENSG00000029534",243536
"463","ENSG00000145362",565657
"464","ENSG00000151150",707228
"465","ENSG00000151687",70665
"466","ENSG00000166839",46940
"467","ENSG00000185722",100609
"468","ENSG00000154122",166978
"469","ENSG00000131503",138042
"470","ENSG00000254996",147764
"471","ENSG00000001629",155150
"472","ENSG00000160117",6000
"473","ENSG00000176915",36197
"474","ENSG00000144504",78566
"475","ENSG00000106524",46041
"476","ENSG00000164331",13486
"477","ENSG00000088448",36529
"478","ENSG00000167522",222940
"479","ENSG00000101745",149232
"480","ENSG00000076513",40000
"481","ENSG00000198720",21252
"482","ENSG00000118454",95732
"483","ENSG00000172932",13193
"484","ENSG00000134461",28171
"485","ENSG00000132466",184000
"486","ENSG00000180071",48999
"487","ENSG00000291168",28846
"488","ENSG00000291280",36669
"489","ENSG00000290972",47953
"490","ENSG00000163126",6107
"491","ENSG00000107890",96382
"493","ENSG00000105186",78195
"494","ENSG00000206560",192309
"496","ENSG00000167612",3712
"497","ENSG00000164236",93493
"498","ENSG00000272031",5139
"499","ENSG00000135976",151024
"500","ENSG00000196912",85167
"501","ENSG00000214262",1849
"502","ENSG00000291127",40690
"503","ENSG00000186352",3550
"504","ENSG00000213337",10032
"505","ENSG00000154945",14719
"506","ENSG00000137494",54722
"507","ENSG00000065413",324135
"508","ENSG00000183831",61526
"509","ENSG00000186106",50034
"510","ENSG00000168876",5591
"511","ENSG00000151458",48683
"512","ENSG00000139645",20552
"513","ENSG00000100124",13491
"514","ENSG00000135299",200656
"515","ENSG00000157999",5176
"516","ENSG00000156381",2930
"517","ENSG00000064999",202152
"518","ENSG00000185046",1249863
"519","ENSG00000168096",37867
"520","ENSG00000165138",64503
"521","ENSG00000163516",6912
"522","ENSG00000011426",63968
"523","ENSG00000160746",255742
"524","ENSG00000047617",383581
"525","ENSG00000134343",331158
"526","ENSG00000177119",224417
"527","ENSG00000146205",36867
"528","ENSG00000074855",11606
"529","ENSG00000140350",42386
"531","ENSG00000136938",32735
"532","ENSG00000143401",17787
"533","ENSG00000166825",29946
"534","ENSG00000163297",171706
"535","ENSG00000135046",18526
"536","ENSG00000122359",50448
"537","ENSG00000182718",50835
"538","ENSG00000177721",1265
"539","ENSG00000138772",58863
"540","ENSG00000196975",84469
"541","ENSG00000164111",28995
"542","ENSG00000197043",57176
"543","ENSG00000138279",38652
"544","ENSG00000143412",13615
"545","ENSG00000136250",211605
"546","ENSG00000138356",85486
"547","ENSG00000243478",98495
"548","ENSG00000138660",38316
"549","ENSG00000100280",60903
"550","ENSG00000166747",80071
"551","ENSG00000213983",8502
"552","ENSG00000072958",37491
"553","ENSG00000106367",6871
"554","ENSG00000182287",29208
"555","ENSG00000152056",82272
"556","ENSG00000196961",40189
"557","ENSG00000183020",86436
"558","ENSG00000006125",139154
"559","ENSG00000161203",9245
"560","ENSG00000042753",12780
"561","ENSG00000132842",292429
"562","ENSG00000065000",50569
"563","ENSG00000185009",30811
"564","ENSG00000070718",18237
"565","ENSG00000177879",72159
"566","ENSG00000157823",63786
"567","ENSG00000134262",10370
"568","ENSG00000226167",44602
"569","ENSG00000081014",97228
"570","ENSG00000221838",5673
"571","ENSG00000100478",71344
"572","ENSG00000254470",6693
"573","ENSG00000053770",21191
"574","ENSG00000125843",4783
"575","ENSG00000242802",18764
"576","ENSG00000120868",90133
"577","ENSG00000034053",196676
"578","ENSG00000011132",10902
"579","ENSG00000166313",24289
"580","ENSG00000077420",129466
"581","ENSG00000163697",404591
"582","ENSG00000113108",6336
"583","ENSG00000134982",138734
"584","ENSG00000115266",23095
"585","ENSG00000198768",55523
"586","ENSG00000164062",9499
"587","ENSG00000100823",2641
"588","ENSG00000169188",7550
"589","ENSG00000117362",3810
"590","ENSG00000138613",31576
"591","ENSG00000166181",32575
"592","ENSG00000149089",34096
"595","ENSG00000169621",112603
"596","ENSG00000084234",74990
"597","ENSG00000101474",29845
"599","ENSG00000244509",4560
"600","ENSG00000243811",12138
"601","ENSG00000128394",15302
"602","ENSG00000239713",10738
"603","ENSG00000184730",4321
"604","ENSG00000130208",4685
"605","ENSG00000267467",3258
"607","ENSG00000130203",3611
"608","ENSG00000100342",14460
"609","ENSG00000128335",13745
"610","ENSG00000128284",25854
"611","ENSG00000221963",20032
"612","ENSG00000178878",65548
"613","ENSG00000204444",5800
"614","ENSG00000184831",74592
"615","ENSG00000155008",89425
"617","ENSG00000142192",290585
"618","ENSG00000062725",83060
"619","ENSG00000157500",45733
"620","ENSG00000136044",62933
"621","ENSG00000198931",2465
"622","ENSG00000137074",29035
"623","ENSG00000178301",20721
"624","ENSG00000165272",6479
"625","ENSG00000260372",70638
"626","ENSG00000161798",4186
"627","ENSG00000021776",113443
"628","ENSG00000169083",186587
"629","ENSG00000078061",10821
"630","ENSG00000186635",67320
"631","ENSG00000047365",178359
"632","ENSG00000095139",30645
"633","ENSG00000109321",9873
"634","ENSG00000109321",9856
"635","ENSG00000109321",9873
"636","ENSG00000109321",9856
"637","ENSG00000143761",16552
"638","ENSG00000134287",21260
"639","ENSG00000168374",26125
"640","ENSG00000004059",3353
"641","ENSG00000165527",4036
"642","ENSG00000101199",16977
"643","ENSG00000149182",12827
"644","ENSG00000242247",60876
"645","ENSG00000066777",146028
"646","ENSG00000124198",114955
"647","ENSG00000164144",131951
"648","ENSG00000132254",6796
"649","ENSG00000101246",9370
"650","ENSG00000118520",11128
"651","ENSG00000081181",31857
"652","ENSG00000134884",24852
"653","ENSG00000175220",23590
"654","ENSG00000071205",340474
"655","ENSG00000198826",24177
"656","ENSG00000165322",123478
"657","ENSG00000075884",639022
"658","ENSG00000140750",95963
"659","ENSG00000146376",133130
"660","ENSG00000213390",70500
"661","ENSG00000269891",139631
"662","ENSG00000107863",140059
"663","ENSG00000128805",210242
"664","ENSG00000275832",83908
"665","ENSG00000163219",92044
"666","ENSG00000145819",458280
"667","ENSG00000159314",31744
"668","ENSG00000159314",3564
"669","ENSG00000159314",31744
"670","ENSG00000159314",3564
"671","ENSG00000186517",23028
"672","ENSG00000031081",125103
"673","ENSG00000134909",227138
"674","ENSG00000004777",13307
"675","ENSG00000160007",86400
"676","ENSG00000147799",84325
"677","ENSG00000089820",18884
"678","ENSG00000165895",303249
"679","ENSG00000100852",82439
"680","ENSG00000047648",528158
"681","ENSG00000123329",7595
"682","ENSG00000141522",3685
"683","ENSG00000111348",19612
"684","ENSG00000076928",24337
"685","ENSG00000104728",134658
"686","ENSG00000074964",158040
"687","ENSG00000132694",110530
"688","ENSG00000196914",153027
"689","ENSG00000198844",12278
"690","ENSG00000130762",26530
"691","ENSG00000110237",60762
"692","ENSG00000104880",77372
"693","ENSG00000142632",14505
"694","ENSG00000116584",31706
"695","ENSG00000240771",7065
"696","ENSG00000114790",136824
"697","ENSG00000243069",96809
"698","ENSG00000163947",351890
"699","ENSG00000213214",9615
"700","ENSG00000137135",5937
"701","ENSG00000136002",130612
"702","ENSG00000165801",19509
"703","ENSG00000050327",25236
"704","ENSG00000129675",115791
"705","ENSG00000102606",190457
"706","ENSG00000131089",150578
"707","ENSG00000117713",86079
"708","ENSG00000049618",432849
"709","ENSG00000189079",178199
"710","ENSG00000116017",46766
"711","ENSG00000179361",56924
"712","ENSG00000032219",75229
"713","ENSG00000054267",161322
"714","ENSG00000196843",15907
"715","ENSG00000150347",195694
"716","ENSG00000166233",112229
"717","ENSG00000177479",66690
"719","ENSG00000120805",14669
"720","ENSG00000175414",8001
"721","ENSG00000152213",5573
"722","ENSG00000169379",75539
"723","ENSG00000152219",14516
"724","ENSG00000185305",425789
"725","ENSG00000214087",2730
"726","ENSG00000185829",62663
"727","ENSG00000213465",8072
"728","ENSG00000273003",26459
"729","ENSG00000102931",8507
"730","ENSG00000138175",40706
"731","ENSG00000122644",4106
"732","ENSG00000188042",4007
"733","ENSG00000175906",2151
"734","ENSG00000162980",27529
"735","ENSG00000165997",18627
"736","ENSG00000141748",9267
"737","ENSG00000170540",9866
"738","ENSG00000182196",2580
"739","ENSG00000144746",21149
"740","ENSG00000177917",43360
"741","ENSG00000143862",11339
"742","ENSG00000134108",58671
"743","ENSG00000196503",18683
"744","ENSG00000104442",31761
"745","ENSG00000170632",24882
"746","ENSG00000118690",125733
"748","ENSG00000140691",8171
"749","ENSG00000105676",24600
"750","ENSG00000125449",20278
"751","ENSG00000114098",111113
"752","ENSG00000126947",4161
"753","ENSG00000184867",4595
"754","ENSG00000102401",4711
"755","ENSG00000196440",117724
"756","ENSG00000125962",4989
"757","ENSG00000198960",2883
"758","ENSG00000254636",2689
"759","ENSG00000143437",67063
"762","ENSG00000241685",40389
"763","ENSG00000130429",20106
"764","ENSG00000163466",37197
"765","ENSG00000111229",15452
"766","ENSG00000241553",14610
"767","ENSG00000250151",43808
"768","ENSG00000162704",9748
"769","ENSG00000136950",8212
"770","ENSG00000128989",21781
"771","ENSG00000172995",155322
"772","ENSG00000137486",91709
"773","ENSG00000141480",11006
"774","ENSG00000197070",9716
"775","ENSG00000105643",12967
"776","ENSG00000113369",14608
"777","ENSG00000281357",40368
"778","ENSG00000140450",13135
"779","ENSG00000205784",12430
"780","ENSG00000100299",5419
"781","ENSG00000113273",209320
"782","ENSG00000006756",25405
"783","ENSG00000141337",161677
"784","ENSG00000164291",49981
"785","ENSG00000117407",3920
"786","ENSG00000173409",21656
"787","ENSG00000099889",46907
"788","ENSG00000214435",32445
"789","ENSG00000104763",28582
"790","ENSG00000204147",14881
"791","ENSG00000153317",391555
"792","ENSG00000151693",198918
"793","ENSG00000088280",55694
"794","ENSG00000065802",25265
"795","ENSG00000165192",33915
"796","ENSG00000196372",27738
"797","ENSG00000239388",24331
"798","ENSG00000161664",8377
"799","ENSG00000267080",10743
"800","ENSG00000115239",117029
"801","ENSG00000164122",55547
"802","ENSG00000148331",7565
"803","ENSG00000183475",49149
"804","ENSG00000177981",9805
"805","ENSG00000102048",26480
"806","ENSG00000138303",121102
"807","ENSG00000100325",49696
"808","ENSG00000112249",372616
"809","ENSG00000183734",2454
"810","ENSG00000111875",15094
"811","ENSG00000105011",17119
"812","ENSG00000161944",13489
"813","ENSG00000116539",227272
"814","ENSG00000235919",1963
"815","ENSG00000129691",34587
"816","ENSG00000110881",25985
"817","ENSG00000213199",4464
"818","ENSG00000072182",24602
"819","ENSG00000126522",17553
"821","ENSG00000138381",9432
"822","ENSG00000198363",214084
"823","ENSG00000128203",15698
"824","ENSG00000066279",62567
"825","ENSG00000106819",26355
"826","ENSG00000244617",2173
"827","ENSG00000169696",39856
"828","ENSG00000162174",56113
"829","ENSG00000034533",12925
"830","ENSG00000148219",989813
"832","ENSG00000171456",80975
"833","ENSG00000143970",139059
"834","ENSG00000154438",64301
"835","ENSG00000138138",65042
"836","ENSG00000156802",76614
"837","ENSG00000119778",178402
"838","ENSG00000197785",22544
"839","ENSG00000160072",24418
"840","ENSG00000215915",20469
"841","ENSG00000176208",63272
"842","ENSG00000137343",19985
"843","ENSG00000107669",184921
"844","ENSG00000123268",57154
"845","ENSG00000115966",95956
"846","ENSG00000162772",55443
"847","ENSG00000128272",2122
"848","ENSG00000169136",5234
"849","ENSG00000118217",197826
"850","ENSG00000213676",12972
"851","ENSG00000170653",118559
"852","ENSG00000171681",133086
"853","ENSG00000166669",97583
"854","ENSG00000152348",283372
"855","ENSG00000145782",13654
"856","ENSG00000175224",58742
"857","ENSG00000126775",45467
"858","ENSG00000085978",44103
"859","ENSG00000168010",15229
"860","ENSG00000110046",22718
"861","ENSG00000066739",82083
"862","ENSG00000144848",29126
"863","ENSG00000101844",63002
"864","ENSG00000168397",36244
"865","ENSG00000125703",81164
"866","ENSG00000130734",9447
"867","ENSG00000057663",141343
"868","ENSG00000197548",285129
"869","ENSG00000198925",10259
"871","ENSG00000138363",37817
"872","ENSG00000198513",99984
"873","ENSG00000119787",82403
"874","ENSG00000184743",42646
"875","ENSG00000149311",146267
"876","ENSG00000166454",11493
"877","ENSG00000111676",17858
"878","ENSG00000177556",15827
"879","ENSG00000206190",184489
"880","ENSG00000145246",108093
"881","ENSG00000068650",196839
"882","ENSG00000058063",128130
"883","ENSG00000101974",105942
"884","ENSG00000105726",18493
"885","ENSG00000159363",25970
"886","ENSG00000133657",65565
"887","ENSG00000127249",152830
"888","ENSG00000163399",31601
"890","ENSG00000018625",27854
"891","ENSG00000105409",27694
"892","ENSG00000143153",26013
"893","ENSG00000069849",49912
"894","ENSG00000196296",26021
"895","ENSG00000174437",69865
"896","ENSG00000074370",40595
"897","ENSG00000070961",68018
"898","ENSG00000058668",117294
"899","ENSG00000017260",166186
"919","ENSG00000071553",7884
"920","ENSG00000182220",25672
"921","ENSG00000033627",63735
"922","ENSG00000185344",49436
"923","ENSG00000117410",3370
"924","ENSG00000185883",6497
"925","ENSG00000159720",43172
"926","ENSG00000113732",51137
"927","ENSG00000171130",7730
"928","ENSG00000204934",6168
"929","ENSG00000114573",65039
"930","ENSG00000147416",24503
"931","ENSG00000155097",52037
"932","ENSG00000143882",63461
"933","ENSG00000100554",22139
"934","ENSG00000131100",36685
"935","ENSG00000250565",8110
"936","ENSG00000128524",3046
"937","ENSG00000136888",11158
"938","ENSG00000254870",16629
"939","ENSG00000047249",127768
"940","ENSG00000165240",139698
"941","ENSG00000123191",78824
"942","ENSG00000124406",248730
"943","ENSG00000132932",649211
"944","ENSG00000143515",25744
"945","ENSG00000130270",30201
"946","ENSG00000104043",260984
"947","ENSG00000290567",76274
"948","ENSG00000054793",171594
"949","ENSG00000166377",308885
"950","ENSG00000123472",33388
"951","ENSG00000171953",21146
"954","ENSG00000175054",129591
"955","ENSG00000138085",5147
"956","ENSG00000164053",18940
"957","ENSG00000088812",180104
"958","ENSG00000085224",281363
"959","ENSG00000124788",462378
"960","ENSG00000130638",173509
"961","ENSG00000224470",11342
"962","ENSG00000204842",147462
"963","ENSG00000168488",14189
"964","ENSG00000066427",48069
"965","ENSG00000163635",138903
"966","ENSG00000146776",271810
"967","ENSG00000162650",8859
"968","ENSG00000087152",6356
"969","ENSG00000253719",3681
"970","ENSG00000148090",148109
"971","ENSG00000127423",25351
"972","ENSG00000115307",3199
"973","ENSG00000087586",22906
"974","ENSG00000175756",1708
"976","ENSG00000178999",5895
"977","ENSG00000158321",1193980
"978","ENSG00000169857",172875
"979","ENSG00000135407",18692
"980","ENSG00000105778",88603
"981","ENSG00000101200",2168
"982","ENSG00000119986",9834
"983","ENSG00000166148",10051
"984","ENSG00000126895",4635
"985","ENSG00000162779",189015
"986","ENSG00000103126",65236
"987","ENSG00000167601",42563
"989","ENSG00000163512",26774
"990","ENSG00000155096",37861
"991","ENSG00000172232",4186
"992","ENSG00000166710",6672
"993","ENSG00000169255",21489
"994","ENSG00000162885",57248
"995","ENSG00000162630",7883
"996","ENSG00000176022",2791
"998","ENSG00000112309",95719
