"","Gene_Symbol","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","Gene_Length"
"3882","ENSG00000112561",2098,2075,3559,3096,2935,1008,901,15,2978,4473,1874,7941,72,78,197,851,1505,2951,1387,4968,63,6239,2381,3945,2582,3890,4007,2560,2686,3426,52281
"3884","ENSG00000112576",6630,6522,8062,3868,6200,6928,1603,197,6891,12018,7047,12474,260,268,450,696,610,17753,6277,9936,1793,10001,7537,9615,12220,7101,10708,6320,5956,10068,113939
"3885","ENSG00000112578",106,100,83,3,23,56,43,2,50,257,175,117,1,8,11,0,0,232,123,214,0,124,218,122,174,474,149,121,160,247,11819
"3886","ENSG00000112584",1120,1074,626,11,154,434,127,6,452,967,436,363,2,11,18,0,0,571,819,1062,126,73,1094,1332,727,774,1062,685,428,619,98393
"3887","ENSG00000112592",402,508,233,31,33,59,23,8,159,373,289,148,0,113,1,10,0,338,330,414,0,211,486,422,220,324,434,312,214,748,18537
"3888","ENSG00000112599",56,78,54,0,43,31,18,0,39,36,25,26,0,31,25,2,0,77,31,20,0,0,23,27,14,121,79,30,31,55,11672
"3890","ENSG00000112640",1197,1261,1295,77,561,630,190,4,763,1603,723,1020,0,48,33,52,0,1769,939,1277,0,1138,1355,1179,449,1175,1591,916,1365,2670,27846
"3891","ENSG00000112651",237,317,441,240,235,356,93,1,198,258,330,453,2,0,2,0,0,766,258,343,0,71,230,144,109,232,264,165,106,456,5475
"3892","ENSG00000112655",40,93,87,3,12,74,8,7,30,61,86,90,3,6,1,1,1,111,30,51,0,1,130,44,32,111,68,42,52,42,85452
"3893","ENSG00000112658",2375,3345,2155,409,262,2168,535,168,1852,3365,2526,1791,115,103,264,0,0,4185,2646,3329,323,4174,2875,3673,4224,5357,5394,3642,3799,3000,10324
"3894","ENSG00000112659",3871,3485,2738,105,392,2072,451,603,1384,2487,2868,1472,185,446,227,123,1,3114,2355,1611,124,1530,2582,1879,659,3339,4112,2155,2493,2885,42403
"3895","ENSG00000112667",173,166,131,190,188,94,47,0,90,255,286,151,1,28,1,120,1,609,177,215,0,297,126,54,81,131,217,149,207,376,3844
"3896","ENSG00000112679",2315,2181,2207,899,430,1259,316,6,1564,2597,1467,1588,3,91,74,458,15,2854,1280,2714,135,2367,1853,2579,2192,2168,2950,1707,1233,1813,59254
"3897","ENSG00000112685",1241,902,252,0,34,157,74,2,231,1006,404,181,98,33,22,0,0,361,862,730,0,233,1132,855,314,368,606,318,333,387,208003
"3898","ENSG00000112695",1477,1309,533,1455,502,325,131,8,547,1270,352,883,12,1,3,277,2,1249,940,2366,47,885,1092,1167,2120,778,1114,734,1103,3823,6253
"3899","ENSG00000112697",1324,1197,449,17,100,162,46,0,297,947,526,472,2,1,60,0,0,223,1545,3374,90,591,1506,2073,1296,763,829,775,341,675,31994
"3900","ENSG00000112699",483,264,280,38,122,191,25,2,141,437,214,174,0,1,37,2,1,397,223,453,189,221,291,357,427,208,421,220,211,612,621833
"3901","ENSG00000112701",2062,2126,846,158,155,848,91,64,600,2057,630,835,40,15,129,8,12,461,1726,2905,1,432,2917,3539,1238,1111,1333,1181,434,721,116372
"3903","ENSG00000112715",6870,2943,824,811,243,4576,302,127,1675,6743,1770,3189,295,381,904,334,16,7685,4079,1328,1,1614,4578,3841,926,7805,5959,6234,9843,4507,16277
"3904","ENSG00000112739",3591,3606,590,76,111,910,70,13,558,2153,1593,323,0,83,99,138,0,672,2459,2716,191,665,3891,3574,990,1420,1870,2020,580,1637,43648
"3905","ENSG00000112742",15,6,0,0,0,0,0,0,0,13,1,0,0,0,1,1,0,2,20,30,0,0,20,10,3,3,8,9,5,58,37922
"3906","ENSG00000112759",541,535,1336,219,106,1425,233,5,357,3679,375,207,2,0,6,0,0,912,390,624,1,3411,615,507,663,902,1019,968,368,698,14646
"3907","ENSG00000112763",2999,3338,2198,501,195,1182,388,8,1333,4110,2319,977,13,89,96,4,3,2345,2425,3732,40,1584,3566,6783,3731,3908,4937,2670,2625,8798,18696
"3910","ENSG00000112787",1770,2217,2839,337,949,3355,621,634,1884,2053,4221,4959,685,780,760,795,915,4223,2601,2458,337,2686,2022,1518,400,3114,3190,2326,2256,1119,94616
"3912","ENSG00000112799",728,503,800,1634,1044,344,102,0,516,1305,258,839,0,0,2,590,0,677,397,1703,196,1261,669,690,517,144,471,308,542,1262,66282
"3917","ENSG00000112855",839,809,402,106,36,238,67,101,296,716,468,269,113,60,18,0,0,430,560,951,0,319,902,870,298,486,729,474,315,589,7872
"3918","ENSG00000112874",8,7,1,0,0,0,0,0,3,1,5,0,0,0,0,0,0,15,14,38,0,0,11,8,7,0,12,8,0,3,13934
"3919","ENSG00000112877",277,189,82,0,1,48,9,51,108,118,235,127,7,50,31,2,0,235,149,41,0,4,173,139,27,191,251,151,109,113,41261
"3920","ENSG00000112893",1583,1666,217,87,67,271,34,32,171,854,835,289,15,106,89,50,181,414,1510,1231,387,483,1596,1305,400,482,682,627,211,340,178273
"3923","ENSG00000112964",0,0,0,1,0,0,0,6,1,0,1,1,7,1,6,0,2,0,0,2,0,0,0,1,1,0,0,3,0,0,298103
"3924","ENSG00000112972",2636,1288,219,1265,866,181,63,186,282,1080,567,553,39,3,40,4,738,306,732,645,128,837,1061,1226,616,742,546,725,211,336,26042
"3925","ENSG00000112977",2052,2450,1938,265,480,1958,326,10,1522,3492,1195,1039,6,0,60,107,2,2373,1352,2803,0,2190,2610,3251,3289,2419,3569,2160,2225,6707,82045
"3927","ENSG00000112983",1584,1172,955,194,100,318,158,0,520,1306,949,582,3,6,52,2,1,1114,746,1503,450,74,1453,1532,713,842,1091,652,598,738,38899
"3928","ENSG00000112984",32,2,0,0,1,1,5,1,1,24,2,0,0,1,0,0,0,0,43,33,0,1,6,16,12,10,13,14,15,227,8987
"3929","ENSG00000112992",1114,1059,442,65,62,205,46,1,248,1179,858,137,1,5,2,0,0,1148,938,1194,39,491,1251,898,478,635,883,557,406,1070,102877
"3930","ENSG00000112996",671,800,494,261,132,687,59,50,310,816,528,285,1,2,7,0,0,898,497,481,0,460,775,511,359,560,615,360,436,920,6591
"3931","ENSG00000113013",3903,4446,2042,1344,695,1670,293,0,1296,5926,1632,967,108,66,116,233,1604,2599,2930,2455,341,743,3210,3662,1577,2474,2767,2441,2059,4627,20747
"3932","ENSG00000113048",747,655,284,83,75,454,74,2,285,830,465,230,0,75,5,0,0,677,454,658,0,350,686,413,269,336,587,338,327,1265,100848
"3933","ENSG00000113068",465,662,502,224,89,168,75,0,386,835,260,358,0,0,18,48,0,408,400,517,278,514,696,565,471,335,463,438,617,1321,58054
"3934","ENSG00000113070",651,1936,866,101,52,1436,147,76,738,4194,325,364,35,115,141,37,0,1913,3075,502,0,171,2477,4035,928,1161,2210,1854,3221,3144,13760
"3936","ENSG00000113083",1,1,0,0,0,0,0,0,0,2,3,0,0,1,2,0,0,1,2,4,0,1,0,6,2,0,8,5,1,0,15165
"3938","ENSG00000113100",0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,2,1,1,0,0,4,0,0,157980
"3939","ENSG00000113108",2184,1914,1094,555,294,1062,264,121,827,1631,1766,1041,124,75,199,391,7,2771,1788,1870,288,952,2172,2700,474,2484,3191,1471,3100,1521,6336
"3940","ENSG00000113119",589,594,428,151,36,380,122,48,287,661,436,280,3,13,41,71,229,803,371,543,44,103,553,481,403,808,841,378,595,598,5977
"3941","ENSG00000113140",3341,5252,5333,523,1365,12588,490,45,1865,3766,2997,3416,20,138,175,70,99,13767,3758,10656,1003,5565,2724,7609,4865,2106,6646,4518,2658,6370,25958
"3942","ENSG00000113141",3876,4437,3442,1302,969,1871,785,100,2799,5843,1858,2388,136,317,490,695,931,3957,2886,3464,251,3198,3769,4075,3428,3640,5451,3274,2185,3617,14681
"3943","ENSG00000113161",2064,1342,177,71,62,102,86,4,396,1286,348,302,16,58,20,1,17,442,710,1981,0,174,1408,3181,672,863,924,786,388,708,24933
"3944","ENSG00000113194",1150,823,224,82,92,313,52,0,200,561,345,154,14,0,42,2,0,249,874,969,374,258,919,986,556,574,872,472,213,739,61719
"3949","ENSG00000113212",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,1,1,0,2,0,0,0,1,3714
"3951","ENSG00000113240",1696,1013,162,18,31,260,20,7,125,410,525,80,0,0,9,1,0,300,873,999,1,117,997,1005,326,639,751,503,109,236,24389
"3956","ENSG00000113269",3599,3246,2359,996,750,366,498,10,3124,5027,678,2410,11,69,68,14,1,1207,2173,9838,299,3560,4230,7697,6919,2646,3555,3097,2472,4268,116635
"3957","ENSG00000113272",214,190,174,161,38,201,13,1,91,296,103,88,0,2,5,4,1,344,177,323,0,555,156,117,72,75,169,90,116,225,8449
"3958","ENSG00000113273",376,337,227,44,54,188,48,5,173,728,250,175,3,7,7,0,17,213,289,467,0,696,384,400,626,340,396,261,187,433,209320
"3959","ENSG00000113282",2798,2428,707,93,48,591,86,16,410,2725,810,278,156,133,34,146,297,964,2057,2566,1,1076,2528,2823,850,1517,1938,1694,696,2801,73432
"3960","ENSG00000113296",65,69,64,2,9,63,0,1,38,185,16,1,0,43,3,0,0,39,29,82,0,0,79,41,19,99,71,47,24,220,47937
"3961","ENSG00000113300",747,798,178,7,42,266,37,6,206,831,276,195,5,94,14,47,8,301,699,591,4,346,698,961,212,342,413,404,198,354,83936
"3964","ENSG00000113312",1006,1054,844,899,535,378,205,15,748,2007,410,706,14,1,58,156,64,1104,698,1252,0,1325,1110,1216,1777,852,829,804,896,1121,56370
"3965","ENSG00000113318",503,417,165,43,54,70,16,30,139,343,153,137,1,0,30,1,0,125,246,403,0,1,381,460,191,247,346,236,88,234,222167
"3966","ENSG00000113319",1071,737,202,1,24,183,20,2,83,235,374,129,5,0,5,0,1,253,681,233,0,31,735,419,128,433,515,284,158,274,269473
"3968","ENSG00000113328",1316,1124,366,93,86,315,18,0,300,1330,481,171,0,0,3,0,0,263,839,1448,236,744,981,1033,421,484,711,523,275,1092,7445
"3969","ENSG00000113356",15,17,1,1,1,9,2,1,10,11,17,21,0,0,9,136,9,15,24,19,0,0,26,17,6,8,22,10,11,17,39688
"3970","ENSG00000113360",1111,1000,299,0,47,208,42,100,219,484,620,178,3,63,37,0,1,521,888,713,1,500,992,785,162,618,708,592,235,279,131680
"3971","ENSG00000113361",0,5,0,3,6,0,0,5,1,1,3,1,4,0,2,0,2,2,9,10,0,0,3,8,2,3,11,6,3,5,135491
"3972","ENSG00000113368",2382,1296,367,417,355,124,115,6,543,2981,456,489,3,4,110,87,13,462,1071,3904,0,430,1417,5220,2598,1176,1250,1034,565,2135,60397
"3973","ENSG00000113369",3436,1808,452,373,94,707,48,15,585,1380,878,475,0,27,32,0,0,786,2384,603,200,969,2612,2203,747,965,1909,887,229,471,14608
"3974","ENSG00000113384",1373,1514,507,137,87,187,115,115,527,1900,500,238,6,2,49,1,186,1053,1090,2021,0,1119,1425,2117,1051,659,818,952,694,1554,49601
"3975","ENSG00000113387",2637,1956,1119,1428,638,819,182,45,1018,2594,759,1295,10,114,52,0,108,544,1766,2761,36,2611,1952,2597,2605,1127,1176,1175,553,1572,18580
"3976","ENSG00000113389",10,4,14,1,0,40,0,7,0,1,3,0,5,9,4,4,0,0,4,4,0,0,9,7,8,10,11,4,0,24,81087
"3977","ENSG00000113391",461,397,26,109,28,60,12,2,65,268,154,115,24,14,22,2,1,137,372,348,352,1,436,485,265,255,379,212,57,61,493973
"3980","ENSG00000113441",1971,1662,320,908,394,327,49,68,296,1158,708,367,44,108,77,562,166,689,1911,1312,513,315,1656,1937,927,819,1125,893,332,752,93769
"3981","ENSG00000113448",3319,3548,312,106,33,786,44,107,352,1736,707,208,100,34,96,2,4,444,1330,671,74,62,2727,2211,425,1158,1524,1334,836,2862,1519059
"3982","ENSG00000113456",463,497,69,319,267,165,44,111,94,381,169,158,6,0,1,56,0,282,198,207,0,0,351,276,143,228,262,237,224,637,10414
"3983","ENSG00000113460",186,289,140,49,89,104,9,5,97,351,152,132,0,20,8,5,0,194,264,319,0,1,366,234,120,160,226,162,103,202,9967
"3986","ENSG00000113504",2751,3365,4639,100,95,2503,509,746,609,2929,1305,2585,2,278,364,0,0,2086,2010,2928,0,1663,2513,1953,1227,3856,3548,745,1721,1910,61683
"3988","ENSG00000113522",665,732,304,101,43,230,31,1,207,504,309,156,0,6,14,1,0,210,593,663,0,266,794,542,172,277,299,368,128,193,87697
"3990","ENSG00000113532",1819,1248,692,112,129,77,133,29,504,2335,364,621,95,87,39,112,0,270,1062,3760,125,528,1843,4024,1809,1118,1422,1013,700,1217,96348
"3991","ENSG00000113552",481,354,377,122,98,173,40,24,273,524,237,321,5,41,75,0,0,334,340,798,0,174,620,463,202,533,490,331,360,376,12386
"3993","ENSG00000113558",2312,2321,1156,641,614,929,199,24,1261,2549,1111,1483,13,124,31,117,173,953,1181,1810,339,555,2081,3241,3273,1565,1939,1317,706,1468,20642
"3994","ENSG00000113569",426,534,78,3,33,74,37,16,68,290,138,58,1,1,0,2,0,161,440,343,0,48,422,386,79,180,226,176,119,437,79256
"3995","ENSG00000113575",4265,4064,1654,803,302,1435,341,76,1466,3977,1199,1169,121,0,45,0,0,1485,2141,2722,49,1115,3489,5960,5166,2449,2569,2448,1314,2136,29802
"3997","ENSG00000113580",3501,3928,791,327,464,591,92,1,1059,3466,1084,778,114,163,121,22,1,1101,2417,3357,64,337,3799,5547,1959,2387,2732,2045,1013,2855,157581
"3998","ENSG00000113583",471,334,260,130,16,73,17,0,107,512,118,96,1,26,2,131,0,185,314,823,0,212,481,470,611,175,264,180,153,404,13208
"3999","ENSG00000113593",1475,1390,287,31,20,366,42,0,250,919,442,160,2,0,22,0,269,272,1042,993,73,241,1045,1024,289,582,721,609,169,469,24313
"4001","ENSG00000113595",337,355,32,1,38,0,14,0,58,239,184,28,1,0,2,0,0,29,283,417,0,0,302,441,128,194,215,125,20,118,34680
"4002","ENSG00000113597",262,255,16,1,10,86,3,2,42,223,74,70,0,1,0,0,1,20,240,293,1,3,243,229,114,59,98,93,30,135,41396
"4004","ENSG00000113615",938,880,196,140,80,222,38,0,219,686,399,366,179,1,25,157,1,270,614,653,0,410,900,1141,369,785,646,628,197,608,79126
"4005","ENSG00000113621",517,624,432,64,70,147,44,1,211,757,281,178,2,1,15,17,4,672,395,673,88,181,611,373,192,244,430,342,427,1178,27863
"4006","ENSG00000113638",121,130,27,7,10,4,6,0,29,176,53,46,0,0,14,47,0,48,149,262,0,0,173,206,74,56,83,67,48,75,44394
"4007","ENSG00000113645",71,78,1,44,13,1,12,5,18,89,16,16,27,9,6,2,0,93,37,65,0,150,24,29,58,46,56,41,47,10,180243
"4008","ENSG00000113649",1852,1794,388,4,77,446,45,91,354,1002,1124,130,39,0,77,0,17,910,1509,954,99,208,1634,1066,350,1046,1637,1323,744,1884,64196
"4009","ENSG00000113657",10,3,0,1,0,1,0,2,4,3,3,1,2,3,8,0,0,6,4,10,0,2,2,1,1,11,8,2,5,4,119248
"4010","ENSG00000113658",356,263,47,9,12,2,16,216,86,375,208,61,1,3,23,2,1,263,292,297,0,202,586,544,118,233,275,257,35,190,49886
"4011","ENSG00000113712",1632,2395,709,734,780,644,161,95,857,3039,1197,716,227,148,152,138,55,1303,1979,2158,0,1116,2098,3021,1576,1726,1821,1433,927,2552,55658
"4012","ENSG00000113716",1280,1398,766,13,141,703,130,63,459,1186,858,547,176,44,139,7,398,1442,951,662,225,956,1270,893,350,1026,1185,726,915,2632,52537
"4013","ENSG00000113719",6226,6677,7348,1541,1983,1718,1541,132,6187,10642,2695,8517,209,261,349,371,78,5118,3874,11445,272,12791,5483,15814,13255,9070,13399,7505,7913,10161,118465
"4016","ENSG00000113732",2800,2958,3861,5024,2977,673,919,39,2932,7257,1112,5128,0,168,179,873,791,3538,2112,6608,16,4003,2634,5171,7225,2659,2941,2472,3183,3890,51137
"4017","ENSG00000113734",184,275,63,39,127,451,13,0,93,278,77,112,0,1,3,116,0,85,159,96,0,3,240,133,165,160,182,147,153,589,19945
"4019","ENSG00000113742",3742,3145,551,524,278,592,179,338,858,2212,1266,1150,427,333,1448,889,768,1632,2063,3514,1,1797,3917,10298,3780,8357,5419,4517,1477,2532,71982
"4020","ENSG00000113749",2485,2010,3324,1861,3253,331,913,4,3312,5508,1168,3740,83,257,196,200,34,1538,837,3278,0,6677,1944,7344,2280,5413,4988,2473,3917,3639,28205
"4021","ENSG00000113758",888,649,961,133,488,593,138,141,544,782,923,924,15,108,200,211,4,600,489,1037,0,980,681,1070,178,1154,1628,563,679,976,17080
"4022","ENSG00000113761",377,368,487,35,93,145,51,1,131,497,288,185,57,11,31,0,0,356,278,295,190,305,296,353,220,319,397,218,283,575,44048
"4024","ENSG00000113790",22,5,24,1,0,12,0,2,2,1,21,0,0,1,0,0,0,0,22,18,0,0,25,13,3,2,10,3,8,7,63474
"4026","ENSG00000113810",2255,1731,428,764,629,262,87,2,349,1614,638,555,75,29,65,847,118,482,1188,911,28,678,1379,1978,578,684,786,906,206,627,35311
"4027","ENSG00000113812",518,559,315,8,57,321,61,19,201,712,362,137,66,35,44,0,0,508,507,378,0,662,508,458,200,310,502,310,224,438,15135
"4028","ENSG00000113838",406,367,162,0,0,114,12,4,122,172,158,115,0,2,2,0,1,170,210,138,0,0,344,200,83,242,319,171,45,93,24476
"4029","ENSG00000113845",614,448,414,49,35,251,73,43,251,732,300,195,1,9,0,0,4,830,415,844,0,244,525,438,440,305,348,282,267,417,25757
"4030","ENSG00000113851",1493,1170,330,193,135,186,61,0,343,1180,441,338,0,1,0,60,1,437,899,1326,0,411,1271,1179,716,608,606,599,308,879,30084
"4033","ENSG00000113916",34083,13126,6513,40944,8228,1497,1490,192,5174,14809,3862,7180,247,1171,1746,2339,1637,3635,4942,16789,734,5939,11952,47186,26961,29480,24036,14378,7658,14802,24348
"4037","ENSG00000113971",954,1173,245,641,594,194,99,3,189,760,342,303,11,5,22,271,669,279,502,465,0,1,1000,820,225,260,556,350,98,190,41850
"4038","ENSG00000114013",542,551,658,95,241,221,109,0,610,1246,231,489,54,9,25,1,332,1000,893,2473,0,211,944,907,597,164,419,360,216,799,65779
"4040","ENSG00000114021",352,335,190,74,35,218,16,1,130,259,162,72,1,2,0,1,901,194,298,383,0,38,472,217,71,148,210,190,168,242,20916
"4041","ENSG00000114023",403,355,203,1,128,266,32,0,150,318,149,173,0,1,0,2,6,235,175,410,0,80,310,194,128,166,156,219,181,368,25938
"4042","ENSG00000114026",629,587,940,324,285,254,136,333,444,961,598,584,149,138,83,42,25,1394,433,567,123,552,590,502,257,808,985,504,610,560,16725
"4043","ENSG00000114030",2119,1973,451,127,105,446,115,126,579,2125,632,531,9,13,52,21,0,724,1239,2069,3,471,1898,3309,1242,1230,1971,1131,691,1533,93038
"4044","ENSG00000114054",369,278,202,6,95,89,8,1,88,275,114,66,14,32,4,0,1,602,278,401,105,207,363,249,176,212,277,204,195,690,79846
"4045","ENSG00000114062",1212,994,399,255,423,324,37,0,330,560,440,231,11,89,34,458,109,290,1322,1006,56,629,1243,1039,249,374,507,444,165,574,101779
"4046","ENSG00000114098",1258,1110,398,404,110,346,82,0,309,1066,486,149,39,62,13,1,0,516,910,1214,84,1,1189,1475,683,699,828,552,232,890,111113
"4047","ENSG00000114107",136,106,10,94,0,65,4,0,41,18,14,0,0,0,10,0,1,23,80,49,232,1,113,64,13,35,35,45,10,17,99942
"4050","ENSG00000114120",1968,2004,357,25,16,437,35,16,298,1044,723,325,17,0,17,0,369,520,1343,734,107,109,1959,2292,708,1107,1168,1090,208,610,38123
"4052","ENSG00000114125",684,869,724,320,208,884,167,0,403,920,452,946,0,4,6,2,0,801,543,983,109,446,625,595,662,552,710,482,663,1763,8594
"4053","ENSG00000114126",703,1275,487,760,406,439,119,1,311,1072,364,131,10,44,99,80,8,742,765,358,0,55,531,403,151,602,587,530,405,1235,205116
"4054","ENSG00000114127",2365,2204,336,60,21,355,48,11,280,1034,721,230,14,9,60,1,1,311,2315,1829,2,1024,2021,3157,8695,1237,1468,969,275,789,141404
"4055","ENSG00000114166",2988,2383,412,60,49,597,59,3,451,1824,1404,518,8,46,110,12,0,1164,1913,1750,0,1207,2595,3000,1036,1409,1872,1340,687,1121,114372
"4057","ENSG00000114204",4,4,0,1,13,1,3,0,0,3,3,5,0,0,0,0,0,0,7,14,0,0,14,8,1,1,5,3,0,0,32343
"4058","ENSG00000114209",625,588,223,178,53,75,33,10,326,778,180,300,0,0,8,0,0,293,502,1417,0,215,694,1089,870,275,370,371,135,280,50956
"4061","ENSG00000114268",1904,1759,1771,521,557,401,404,2,1655,2966,821,2237,10,96,156,59,112,701,1024,2430,1,2125,1598,4664,4721,2802,3778,1724,1658,1389,39110
"4064","ENSG00000114302",1024,1269,716,2605,2265,564,137,191,785,1689,449,966,19,29,100,1696,1002,921,913,784,190,1790,956,1046,371,551,769,708,485,981,97177
"4066","ENSG00000114316",4844,4841,3660,1211,1517,2602,798,30,3381,5517,1916,2949,89,195,264,295,428,2836,2869,3962,8,2298,2805,6834,3506,4975,6783,3495,3383,4963,62959
"4067","ENSG00000114331",3530,3089,578,973,1120,393,231,49,1047,3078,1148,843,44,143,101,66,466,689,2273,4635,52,673,3029,6363,3021,2083,2728,2100,795,1479,168352
"4068","ENSG00000114346",91,42,3,0,3,1,1,1,10,82,21,0,0,0,1,0,0,27,84,220,0,0,85,137,5,26,63,44,11,89,70789
"4070","ENSG00000114353",26282,27568,34869,23768,23649,9875,7872,1001,30290,38357,14972,60557,1148,1779,2478,9256,3129,41616,17655,49587,2944,74013,27191,44169,34600,36780,52813,31521,33388,50241,23139
"4071","ENSG00000114354",2696,1830,836,240,164,728,224,4,724,1715,782,677,46,19,27,1,0,979,986,1169,0,176,1509,1881,3633,2004,1999,1381,722,1571,39677
"4072","ENSG00000114374",469,302,0,10,6,2,0,0,48,2,1,46,1,0,6,1,2,1,1,1,0,2,252,228,1,1,265,130,2,196,159608
"4073","ENSG00000114374",469,302,0,10,6,2,0,0,48,2,1,46,1,0,6,1,2,1,1,1,0,2,252,228,1,1,265,130,2,196,29855
"4074","ENSG00000114374",1916,1577,2,3,2,0,0,2,62,2,0,79,1,0,12,1,0,1,0,3,2,1,1811,1041,1,0,787,611,1,378,159608
"4075","ENSG00000114374",1916,1577,2,3,2,0,0,2,62,2,0,79,1,0,12,1,0,1,0,3,2,1,1811,1041,1,0,787,611,1,378,29855
"4077","ENSG00000114383",520,570,807,558,454,331,230,18,435,838,434,816,0,5,6,71,159,998,487,800,0,1676,525,639,669,737,871,516,512,1286,3327
"4078","ENSG00000114388",1476,1481,1112,399,524,1110,228,120,711,1854,1190,1002,1,41,100,45,829,1431,856,1128,76,551,1753,1097,397,1407,1861,883,1099,1997,3567
"4079","ENSG00000114391",9571,9138,5843,7777,4990,8349,1428,1,4075,10707,3631,7913,198,189,59,4553,1744,5896,4922,5826,577,5058,5117,4117,4358,3492,5264,3323,4455,12185,5629
"4080","ENSG00000114395",444,477,388,322,156,263,91,14,468,612,254,425,0,1,15,0,1,582,358,574,0,1008,558,322,497,509,488,311,294,597,3199
"4081","ENSG00000114405",2,2,0,2,12,0,0,1,10,7,3,2,0,0,2,1,1,2,13,33,2,1,20,7,5,0,1,12,2,4,13924
"4082","ENSG00000114416",2431,2185,698,184,200,651,145,515,943,2559,911,656,20,1,39,2,0,833,1441,1785,195,929,2116,2208,1066,1094,1324,1214,386,1036,70305
"4083","ENSG00000114423",2286,2056,694,659,300,372,77,140,427,1041,1054,533,37,22,62,18,0,1146,2036,1214,218,850,2232,1427,425,1221,1323,1227,634,2327,210778
"4084","ENSG00000114439",2846,1801,483,257,311,354,61,0,356,1429,889,562,1,1,113,149,238,558,1607,1336,26,861,2048,2057,1766,977,1222,892,277,760,288393
"4085","ENSG00000114446",651,408,286,169,8,397,55,66,149,317,438,281,24,1,18,0,0,345,473,469,0,1,416,348,343,306,537,333,123,297,61758
"4086","ENSG00000114450",215,132,82,7,16,3,12,0,24,159,33,7,1,0,5,25,2,73,215,604,0,0,127,403,856,163,165,164,78,126,55495
"4089","ENSG00000114480",342,282,102,10,1,32,18,47,115,296,99,93,1,0,47,0,0,163,200,548,0,253,372,777,363,339,348,376,118,160,272100
"4091","ENSG00000114491",238,183,76,4,23,11,9,1,29,123,100,20,0,37,0,0,1,68,115,187,0,1,161,124,56,85,94,54,106,83,18906
"4092","ENSG00000114503",818,767,297,21,85,253,27,5,262,687,510,280,0,0,41,0,0,636,793,848,298,564,732,551,196,404,515,364,272,438,7191
"4093","ENSG00000114520",380,372,130,55,27,113,12,0,146,430,103,70,0,1,3,1,0,80,278,606,0,288,331,378,109,114,162,188,53,255,73570
"4094","ENSG00000114529",36,26,0,0,0,1,0,0,7,11,16,0,0,1,0,0,0,10,8,16,0,1,6,9,7,7,7,7,10,3,31891
"4095","ENSG00000114541",959,766,157,117,111,92,34,22,169,985,206,175,54,11,228,8,31,347,619,777,3,239,646,2430,2111,622,810,624,223,639,216284
"4096","ENSG00000114544",824,700,495,36,72,224,90,0,245,912,466,196,3,0,17,0,0,726,430,651,209,504,573,376,215,441,536,416,529,1508,95191
"4098","ENSG00000114554",804,614,214,2,79,383,86,178,165,386,674,154,69,21,39,1,1,700,546,388,1,462,386,295,88,615,764,333,433,276,48798
"4099","ENSG00000114573",1325,1054,483,101,79,69,82,1,291,1624,186,294,0,0,56,3,1,202,830,2538,0,675,960,2383,759,705,918,699,403,961,65039
"4100","ENSG00000114626",12316,14111,14164,12596,12926,4214,4797,423,14057,16844,5813,29046,400,1201,848,3041,361,9417,5922,22631,1239,23712,13644,28558,22317,27130,36266,17049,17604,15543,7988
"4101","ENSG00000114631",61,77,28,46,72,71,22,1,15,25,37,94,10,1,1,0,0,49,71,37,0,65,105,40,14,63,53,55,49,38,43651
"4102","ENSG00000114638",0,1,1,5,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,1,0,0,1,0,1,0,0,0,0,31575
"4104","ENSG00000114648",1577,1766,971,157,188,864,242,93,679,1864,1071,709,1,256,81,123,1,1190,1050,1272,0,166,1271,2097,718,1729,2176,1344,1079,1871,63976
"4105","ENSG00000114650",2940,3744,3835,409,344,1708,633,190,1857,4670,1996,2501,38,185,188,69,1,3037,2141,3567,134,3946,3147,3950,1422,4240,5847,2393,3643,2507,62261
"4106","ENSG00000114654",4,2,7,1,0,2,0,5,10,3,8,16,6,3,8,0,2,16,6,21,0,0,13,11,1,4,15,8,10,11,39113
"4108","ENSG00000114686",437,465,413,72,91,213,42,11,306,691,254,126,1,27,8,0,1,398,535,1014,0,293,545,342,162,180,273,237,248,624,40815
"4109","ENSG00000114698",5,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,8,5,3,0,1,1,4,10,4,0,1,1,2,58842
"4110","ENSG00000114735",984,918,1101,48,246,903,165,2,474,614,1098,488,6,117,15,0,436,1495,755,604,0,470,874,376,324,1108,1169,468,725,519,15512
"4111","ENSG00000114737",1246,677,763,99,216,573,155,143,434,1408,1929,545,35,15,35,1,1,3786,641,2980,1,487,1688,1045,4233,950,1005,824,611,587,5377
"4112","ENSG00000114738",2208,3088,3059,489,747,880,667,33,2707,4111,1318,2816,51,33,111,558,232,4671,2247,5221,0,5324,3465,4607,4403,3915,5357,2932,3812,6061,37435
"4113","ENSG00000114739",255,244,35,19,10,38,48,258,42,125,235,5,38,23,39,1,2,120,234,67,1,1,260,111,33,163,219,92,69,107,38843
